,level,yearsofexperience,yearsatcompany,distance_NY,bonus,stockgrantvalue,distance_SF,distance_seattle
191,4.0,2.0,2.0,4606061.0,5.0,5.0,1296231.0,798.0
192,5.0,4.0,4.0,4606061.0,40.0,38.0,1296231.0,798.0
193,1.0,0.0,0.0,10007.0,0.0,0.0,4668727.0,4588148.0
194,4.0,10.0,1.0,4733749.0,27.0,43.0,61440.0,1350659.0
195,5.0,5.0,3.0,4606061.0,0.0,70.0,1296231.0,798.0
196,5.0,1.0,0.0,4606061.0,47.0,87.0,1296231.0,798.0
197,5.0,1.0,0.0,4606061.0,47.0,87.0,1296231.0,798.0
198,5.0,1.0,0.0,4606061.0,47.0,87.0,1296231.0,798.0
199,4.0,1.0,1.0,4606061.0,0.0,0.0,1296231.0,798.0
200,5.0,4.0,2.0,4731642.0,13.0,20.0,52394.0,1350502.0
201,4.0,2.0,1.0,4727625.0,29.0,16.0,48377.0,1346485.0
202,3.0,4.0,1.0,395724.0,0.0,15.0,4524752.0,4446140.0
203,4.0,0.0,0.0,4727625.0,15.0,60.0,48377.0,1346485.0
204,5.0,7.0,2.0,4663595.0,10.0,5.0,1020080.0,280142.0
205,63.0,5.0,1.0,4584771.0,0.0,0.0,1302957.0,16830.0
206,7.0,2.0,2.0,4698504.0,9.0,8.0,1042472.0,309771.0
207,6.0,15.0,3.5,4606061.0,52.0,135.0,1296231.0,798.0
208,4.0,1.0,0.0,4732087.0,50.0,37.0,63524.0,1348731.0
209,4.0,5.0,1.0,4732087.0,15.0,160.0,63524.0,1348731.0
210,4.0,0.0,0.0,202657.0,0.0,0.0,4607102.0,4528490.0
211,3.0,4.0,4.0,4747337.0,6.0,30.0,68680.0,1366197.0
212,65.0,10.0,2.0,4584771.0,41.0,181.0,1302957.0,16830.0
213,3.0,2.0,1.0,10007.0,0.0,0.0,4668727.0,4588148.0
214,5.0,3.0,2.5,4606061.0,0.0,57.0,1296231.0,798.0
215,62.0,5.0,2.0,4584771.0,15.0,15.0,1302957.0,16830.0
216,4.0,4.0,0.0,4680488.0,30.0,120.0,110.0,1297072.0
217,5.0,5.0,3.0,10007.0,30.0,0.0,4668727.0,4588148.0
218,5.0,3.0,3.0,4606061.0,0.0,0.0,1296231.0,798.0
219,4.0,9.0,1.0,4727625.0,15.0,35.0,48377.0,1346485.0
220,10.0,0.0,1.0,2626661.0,10.0,0.0,3099810.0,3740217.0
221,5.0,7.0,5.0,4680488.0,30.0,122.0,110.0,1297072.0
222,4.0,4.0,1.0,4727625.0,15.0,41.0,48377.0,1346485.0
223,5.0,1.0,0.0,4606061.0,47.0,93.0,1296231.0,798.0
224,5.0,3.0,1.0,4680488.0,17.0,72.0,110.0,1297072.0
225,4.0,6.0,1.5,4680488.0,15.0,50.0,110.0,1297072.0
226,6.0,7.0,2.0,4680488.0,0.0,110.0,110.0,1297072.0
227,2.0,3.0,2.0,10007.0,15.0,0.0,4668727.0,4588148.0
228,61.0,3.0,1.5,4584771.0,7.0,45.0,1302957.0,16830.0
229,4.0,1.0,1.0,4680488.0,15.0,99.0,110.0,1297072.0
230,4.0,1.0,1.0,4680488.0,10.0,60.0,110.0,1297072.0
231,6.0,4.0,2.0,4680488.0,31.0,91.0,110.0,1297072.0
232,6.0,7.0,2.0,4680488.0,28.0,60.0,110.0,1297072.0
233,63.0,5.0,0.0,4586918.0,13.0,51.0,1305104.0,15513.0
234,2.0,3.0,1.5,4732087.0,17.0,45.0,63524.0,1348731.0
235,5.0,1.0,2.0,4680488.0,0.0,0.0,110.0,1297072.0
236,4.0,1.0,0.0,4719849.0,21.0,59.0,40662.0,1338770.0
237,63.0,10.0,4.0,4606061.0,32.0,23.0,1296231.0,798.0
238,63.0,4.0,0.0,4584771.0,55.0,50.0,1302957.0,16830.0
239,4.0,3.0,2.0,4606061.0,25.0,63.0,1296231.0,798.0
240,5.0,5.0,1.0,611951.0,42.0,5.0,4134585.0,4064379.0
241,3.0,4.0,2.0,2865975.0,0.0,13.0,2009102.0,2115300.0
242,4.0,1.0,0.0,4727625.0,0.0,40.0,48377.0,1346485.0
243,6.0,12.0,2.0,4727625.0,40.0,110.0,48377.0,1346485.0
244,5.0,4.0,2.0,10007.0,29.0,13.0,4668727.0,4588148.0
245,4.0,10.0,2.0,4732087.0,0.0,0.0,63524.0,1348731.0
246,5.0,0.0,0.0,4741100.0,0.0,18.0,81028.0,1359960.0
247,4.0,1.0,0.5,4680488.0,20.0,4.0,110.0,1297072.0
248,5.0,3.0,1.0,10007.0,0.0,50.0,4668727.0,4588148.0
249,1.0,2.0,5.0,10007.0,3.0,0.0,4668727.0,4588148.0
250,6.0,8.0,2.0,4680488.0,0.0,137.0,110.0,1297072.0
251,5.0,4.0,2.0,10007.0,9.0,21.0,4668727.0,4588148.0
252,4.0,1.0,1.0,10007.0,15.0,0.0,4668727.0,4588148.0
253,4.0,4.0,1.0,4727625.0,30.0,30.0,48377.0,1346485.0
254,5.0,5.0,1.0,611951.0,0.0,0.0,4134585.0,4064379.0
255,5.0,5.0,2.0,4653571.0,25.0,30.0,39492.0,1270216.0
256,5.0,10.0,7.0,4733749.0,32.0,73.0,61440.0,1350659.0
257,2.0,5.0,1.0,1033105.0,0.0,5.0,3797555.0,3801330.0
258,4.0,3.0,0.0,4727625.0,15.0,35.0,48377.0,1346485.0
259,5.0,5.0,1.0,4680488.0,0.0,0.0,110.0,1297072.0
260,62.0,0.0,0.0,4584771.0,40.0,37.0,1302957.0,16830.0
261,61.0,2.0,1.5,4586918.0,15.0,30.0,1305104.0,15513.0
262,4.0,0.0,0.0,4727625.0,14.0,35.0,48377.0,1346485.0
263,8.0,12.0,3.0,10007.0,40.0,2.0,4668727.0,4588148.0
264,2.0,5.0,4.0,1276254.0,11.0,15.0,3422402.0,3321648.0
265,6.0,6.0,3.0,4680488.0,0.0,0.0,110.0,1297072.0
266,62.0,0.0,0.0,4584771.0,40.0,37.0,1302957.0,16830.0
267,4.0,1.0,1.0,10007.0,20.0,0.0,4668727.0,4588148.0
268,62.0,8.0,4.0,4584771.0,4.0,10.0,1302957.0,16830.0
269,5.0,10.0,4.0,4727625.0,0.0,0.0,48377.0,1346485.0
270,7.0,10.0,6.0,4680488.0,60.0,0.0,110.0,1297072.0
271,3.0,3.0,2.0,3491643.0,12.0,50.0,1204512.0,1324069.0
272,2.0,3.0,3.0,4470171.0,13.0,20.0,795369.0,2007067.0
273,3.0,4.0,4.0,4747337.0,16.0,60.0,68680.0,1366197.0
274,5.0,12.0,11.0,4733749.0,35.0,66.0,61440.0,1350659.0
275,62.0,10.0,2.0,4584771.0,20.0,20.0,1302957.0,16830.0
276,3.0,5.0,0.0,4747337.0,17.0,27.0,68680.0,1366197.0
277,4.0,0.0,0.0,4733749.0,35.0,21.0,61440.0,1350659.0
278,21.0,2.0,2.0,4719849.0,20.0,20.0,40662.0,1338770.0
279,4.0,2.0,0.5,4732087.0,0.0,0.0,63524.0,1348731.0
280,5.0,3.0,0.0,611951.0,55.0,5.0,4134585.0,4064379.0
281,5.0,8.0,1.0,4680488.0,0.0,0.0,110.0,1297072.0
282,2.0,2.0,0.0,4680488.0,10.0,9.0,110.0,1297072.0
283,19.0,6.0,1.0,4732030.0,170.0,0.0,70973.0,1350890.0
284,66.0,15.0,3.0,4584771.0,50.0,90.0,1302957.0,16830.0
285,4.0,3.0,1.0,4606061.0,24.0,40.0,1296231.0,798.0
286,4.0,4.0,2.0,4680488.0,0.0,130.0,110.0,1297072.0
287,2.0,5.0,1.0,1033105.0,0.0,7.0,3797555.0,3801330.0
288,63.0,7.0,3.0,4584771.0,30.0,100.0,1302957.0,16830.0
289,62.0,4.0,4.0,4584771.0,14.0,12.0,1302957.0,16830.0
290,4.0,5.0,1.0,4606061.0,10.0,30.0,1296231.0,798.0
291,4.0,0.0,0.0,4606061.0,0.0,0.0,1296231.0,798.0
292,63.0,3.0,2.0,4584771.0,22.0,55.0,1302957.0,16830.0
293,5.0,4.0,0.0,4606061.0,0.0,0.0,1296231.0,798.0
294,5.0,6.0,4.0,4606061.0,0.0,50.0,1296231.0,798.0
295,5.0,5.0,1.5,4606061.0,0.0,0.0,1296231.0,798.0
296,5.0,6.0,1.0,2865975.0,0.0,0.0,2009102.0,2115300.0
297,4.0,0.0,0.0,2497842.0,10.0,10.0,2781310.0,3357137.0
298,63.0,5.0,5.0,4584771.0,25.0,65.0,1302957.0,16830.0
299,5.0,8.0,2.0,10007.0,25.0,70.0,4668727.0,4588148.0
300,4.0,2.0,2.0,2496062.0,5.0,0.0,2786113.0,3363231.0
301,61.0,3.0,3.0,4584771.0,0.0,0.0,1302957.0,16830.0
302,2.0,1.0,0.0,10007.0,10.0,5.0,4668727.0,4588148.0
303,7.0,2.0,2.0,4733129.0,2.0,0.0,75992.0,1349713.0
304,2.0,3.0,1.0,4680488.0,0.0,0.0,110.0,1297072.0
305,5.0,5.0,1.0,4680488.0,15.0,65.0,110.0,1297072.0
306,63.0,5.0,5.0,4584771.0,20.0,90.0,1302957.0,16830.0
307,5.0,2.0,2.0,10007.0,0.0,0.0,4668727.0,4588148.0
308,8.0,6.0,6.0,3883807.0,30.0,17.0,1210522.0,2265820.0
309,3.0,2.0,2.0,4693331.0,25.0,5.0,14083.0,1309915.0
310,6.0,0.0,0.0,1929914.0,13.0,0.0,3174687.0,2666194.0
311,2.0,4.0,0.0,191140.0,10.0,0.0,4591681.0,4513069.0
313,3.0,7.0,2.5,1401271.0,0.0,0.0,3993295.0,4238922.0
314,3.0,2.0,0.25,4680488.0,20.0,37.0,110.0,1297072.0
315,2.0,1.0,1.0,4680488.0,22.0,25.0,110.0,1297072.0
316,5.0,15.0,4.0,4493846.0,0.0,0.0,613268.0,1827242.0
317,4.0,5.0,1.0,4732087.0,20.0,100.0,63524.0,1348731.0
318,61.0,4.0,4.0,4586918.0,20.0,12.0,1305104.0,15513.0
319,4.0,3.0,3.0,10007.0,10.0,4.0,4668727.0,4588148.0
320,7.0,5.0,2.0,4733129.0,0.0,0.0,75992.0,1349713.0
321,6.0,12.0,1.0,4680488.0,0.0,0.0,110.0,1297072.0
322,45.0,2.0,0.0,4733749.0,0.0,55.0,61440.0,1350659.0
323,5.0,5.0,1.0,4680488.0,0.0,150.0,110.0,1297072.0
324,5.0,6.0,1.0,4680488.0,0.0,95.0,110.0,1297072.0
325,4.0,3.0,3.0,4680488.0,15.0,100.0,110.0,1297072.0
326,1.0,2.0,0.0,340801.0,0.0,0.0,4977621.0,4897718.0
327,5.0,7.0,3.0,4718202.0,20.0,20.0,72539.0,1334786.0
328,5.0,6.0,2.0,10007.0,0.0,0.0,4668727.0,4588148.0
329,4.0,4.0,0.0,4733749.0,40.0,78.0,61440.0,1350659.0
330,7.0,4.0,1.0,4586918.0,30.0,15.0,1305104.0,15513.0
331,6.0,7.0,2.0,4606061.0,0.0,0.0,1296231.0,798.0
332,64.0,13.0,12.0,4606061.0,28.0,57.0,1296231.0,798.0
333,63.0,5.0,5.0,4584771.0,28.0,40.0,1302957.0,16830.0
334,8.0,12.0,3.0,11544.0,40.0,2.0,4665400.0,4586788.0
335,5.0,5.0,2.0,10007.0,0.0,0.0,4668727.0,4588148.0
336,63.0,2.0,2.0,4606061.0,0.0,0.0,1296231.0,798.0
337,63.0,2.0,2.0,4606061.0,0.0,0.0,1296231.0,798.0
338,4.0,13.0,13.0,182242.0,30.0,25.0,4595438.0,4516826.0
339,5.0,7.0,1.0,4732087.0,17.0,78.0,63524.0,1348731.0
340,61.0,2.0,2.0,4584771.0,20.0,30.0,1302957.0,16830.0
341,5.0,1.0,0.0,4606061.0,47.0,87.0,1296231.0,798.0
342,2.0,3.0,2.0,4731642.0,12.0,0.0,52394.0,1350502.0
343,5.0,10.0,1.0,4606061.0,17.0,25.0,1296231.0,798.0
344,63.0,6.0,3.0,4584771.0,68.0,55.0,1302957.0,16830.0
345,63.0,8.0,2.0,4584771.0,18.0,40.0,1302957.0,16830.0
346,3.0,1.0,1.0,4733129.0,15.0,50.0,75992.0,1349713.0
347,61.0,7.0,6.0,4732087.0,11.0,14.0,63524.0,1348731.0
348,62.0,6.0,6.0,4606061.0,13.0,18.0,1296231.0,798.0
349,5.0,7.0,1.0,4731642.0,40.0,30.0,52394.0,1350502.0
350,59.0,1.0,0.0,4584771.0,20.0,18.0,1302957.0,16830.0
351,60.0,2.0,1.0,4584771.0,12.0,23.0,1302957.0,16830.0
352,1.0,0.0,0.0,2497842.0,8.0,0.0,2781310.0,3357137.0
353,7.0,12.0,7.0,4606061.0,0.0,430.0,1296231.0,798.0
354,5.0,9.0,3.0,4708972.0,60.0,0.0,29724.0,1327832.0
355,3.0,5.0,1.0,4680488.0,0.0,0.0,110.0,1297072.0
356,4.0,3.0,1.0,4586918.0,24.0,42.0,1305104.0,15513.0
357,4.0,3.0,0.0,4727625.0,15.0,75.0,48377.0,1346485.0
